event_id,user_email,event_timestamp,event_type,message_details
evt_d9bf51bd,BRUNA.SILVA@GMAIL.COM,2023-11-19T03:40:57Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_330"", ""template"": ""v1""}"
evt_df849553,julia.lima@uol.com.br,2023-01-13T23:05:28Z,open,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_171"", ""template"": ""v1""}"
evt_19b05ad0,julia.lima@uol.com.br,2023-01-13T23:05:28Z,click,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_497"", ""template"": ""v1""}"
evt_fbaebbb6,julia.lima@uol.com.br,2023-01-07T23:05:28Z,open,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_110"", ""template"": ""v1""}"
evt_fdf70f93,julia.lima@uol.com.br,2023-02-20T13:04:54Z,sent,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_724"", ""template"": ""v1""}"
evt_523f8ddb,julia.lima@uol.com.br,2023-01-11T23:05:28Z,click,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_357"", ""template"": ""v1""}"
evt_10b29617,julia.lima@uol.com.br,2023-11-09T20:02:43Z,open,"{""campaign_code"": ""BROKEN_JSON"", ""oops"": "
evt_afb01b50,JULIA.MENDES@HOTMAIL.COM,2023-07-18T19:41:57Z,sent,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_882"", ""template"": ""v1""}"
evt_0b2181ad,JULIA.MENDES@HOTMAIL.COM,2023-08-04T19:09:14Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_264"", ""template"": ""v1""}"
evt_28147f21,JULIA.PEREIRA@HOTMAIL.COM,2023-04-30T02:17:24Z,open,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_190"", ""template"": ""v1""}"
evt_74468797,bruna.ferreira@uol.com.br,2023-10-09T06:13:31Z,open,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_415"", ""template"": ""v1""}"
evt_cbd71ef9,roberto.lima@hotmail.com,2023-03-01T22:21:27Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_886"", ""template"": ""v1""}"
evt_1bd54649,roberto.lima@hotmail.com,2023-06-04T02:32:54Z,sent,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_602"", ""template"": ""v1""}"
evt_6c479a4e,roberto.lima@hotmail.com,2023-06-09T02:32:54Z,sent,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_560"", ""template"": ""v1""}"
evt_f9ea9985,roberto.lima@hotmail.com,2023-04-30T23:29:07Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_625"", ""template"": ""v1""}"
evt_70321aa8,roberto.lima@hotmail.com,2023-06-12T02:32:54Z,sent,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_943"", ""template"": ""v1""}"
evt_834898d7,ana.silva@outlook.com,2023-07-09T01:01:18Z,sent,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_305"", ""template"": ""v1""}"
evt_a32aec6a,ana.silva@outlook.com,2023-07-08T01:01:18Z,sent,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_737"", ""template"": ""v1""}"
evt_4071486d,MARCOS.LIMA@OUTLOOK.COM,2023-01-03T20:52:19Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_247"", ""template"": ""v1""}"
evt_8ab87dd7,MARCOS.LIMA@OUTLOOK.COM,2023-01-03T20:52:19Z,open,"{""campaign_code"": ""BROKEN_JSON"", ""oops"": "
evt_f3acfbce,MARCOS.LIMA@OUTLOOK.COM,2022-12-29T20:52:19Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_708"", ""template"": ""v1""}"
evt_3cf06bd4,roberto.costa@hotmail.com,2023-09-15T21:45:46Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_951"", ""template"": ""v1""}"
evt_6124e15f,roberto.costa@hotmail.com,2023-09-17T21:45:46Z,open,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_702"", ""template"": ""v1""}"
evt_f5cce4c5,roberto.costa@hotmail.com,2023-09-19T21:45:46Z,sent,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_720"", ""template"": ""v1""}"
evt_c1b5f59d,roberto.costa@hotmail.com,2023-09-18T21:45:46Z,open,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_758"", ""template"": ""v1""}"
evt_8a5cc673,roberto.costa@hotmail.com,2023-09-16T21:45:46Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_636"", ""template"": ""v1""}"
evt_77b26030,bruna.silva@hotmail.com,2023-06-25T08:40:45Z,sent,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_121"", ""template"": ""v1""}"
evt_ede00636,bruna.silva@hotmail.com,2023-02-03T14:46:27Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_369"", ""template"": ""v1""}"
evt_fe5954d0,maria.alves@yahoo.com.br,2023-10-03T14:29:44Z,sent,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_379"", ""template"": ""v1""}"
evt_b29a7c61,maria.alves@yahoo.com.br,2023-08-10T19:42:46Z,sent,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_823"", ""template"": ""v1""}"
evt_aeda2e45,maria.alves@yahoo.com.br,2023-03-05T19:52:31Z,click,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_959"", ""template"": ""v1""}"
evt_aaa901f7,maria.alves@yahoo.com.br,2023-06-26T02:51:14Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_818"", ""template"": ""v1""}"
evt_91172adb,maria.alves@yahoo.com.br,2023-05-19T12:52:31Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_498"", ""template"": ""v1""}"
evt_bd521d42,ana.souza@hotmail.com,2023-07-13T09:58:10Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_845"", ""template"": ""v1""}"
evt_970329d1,ana.souza@hotmail.com,2023-09-21T05:13:13Z,click,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_824"", ""template"": ""v1""}"
evt_03a2f3b8,marcos.mendes@yahoo.com.br,2023-05-25T19:32:11Z,click,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_363"", ""template"": ""v1""}"
evt_80294cb6,lucas.silva@uol.com.br,2023-07-29T10:57:12Z,click,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_263"", ""template"": ""v1""}"
evt_f69fe904,lucas.silva@uol.com.br,2023-10-01T22:50:00Z,click,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_372"", ""template"": ""v1""}"
evt_1de08a38,lucas.silva@uol.com.br,2023-08-08T10:14:19Z,open,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_528"", ""template"": ""v1""}"
evt_4c866039,roberto.lima@hotmail.com,2023-08-17T11:02:29Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_882"", ""template"": ""v1""}"
evt_fe462ded,roberto.lima@hotmail.com,2023-06-23T05:56:54Z,click,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_395"", ""template"": ""v1""}"
evt_7d93d516,roberto.lima@hotmail.com,2023-09-22T14:13:05Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_689"", ""template"": ""v1""}"
evt_0e8b4f39,roberto.lima@hotmail.com,2023-11-09T03:26:48Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_458"", ""template"": ""v1""}"
evt_29d24447,ana.pereira@hotmail.com,2023-10-26T02:41:28Z,open,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_247"", ""template"": ""v1""}"
evt_1fd82787,lucas.souza@hotmail.com,2023-05-16T03:34:08Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_695"", ""template"": ""v1""}"
evt_26e313ac,lucas.souza@hotmail.com,2023-05-18T03:34:08Z,open,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_576"", ""template"": ""v1""}"
evt_41e696c4,lucas.souza@hotmail.com,2023-05-13T03:34:08Z,open,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_227"", ""template"": ""v1""}"
evt_2887bd41,lucas.souza@hotmail.com,2023-08-21T15:59:15Z,sent,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_463"", ""template"": ""v1""}"
evt_d5c6257e,maria.rodrigues@gmail.com,2023-06-28T08:01:48Z,click,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_660"", ""template"": ""v1""}"
evt_fde01204,maria.rodrigues@gmail.com,2023-04-30T21:58:03Z,sent,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_467"", ""template"": ""v1""}"
evt_d3940bbc,maria.alves@gmail.com,2023-10-09T08:13:13Z,sent,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_436"", ""template"": ""v1""}"
evt_1733b3a5,maria.alves@gmail.com,2023-03-12T03:03:36Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_402"", ""template"": ""v1""}"
evt_f811bff9,maria.alves@gmail.com,2023-04-01T19:20:35Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_960"", ""template"": ""v1""}"
evt_fe290c93,maria.alves@gmail.com,2023-09-24T13:11:16Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_331"", ""template"": ""v1""}"
evt_73517576,lucas.ferreira@outlook.com,2023-07-12T17:01:02Z,sent,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_395"", ""template"": ""v1""}"
evt_34c7665b,lucas.ferreira@outlook.com,2023-07-07T15:52:03Z,sent,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_907"", ""template"": ""v1""}"
evt_e0431b42,lucas.ferreira@outlook.com,2023-07-12T15:52:03Z,click,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_949"", ""template"": ""v1""}"
evt_790b839c,lucas.ferreira@outlook.com,2023-07-13T15:52:03Z,sent,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_922"", ""template"": ""v1""}"
evt_ca28172b,lucas.ferreira@outlook.com,2023-07-19T14:06:22Z,open,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_653"", ""template"": ""v1""}"
evt_d8056846,lucas.ferreira@outlook.com,2023-07-14T15:52:03Z,click,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_500"", ""template"": ""v1""}"
evt_28230075,patricia.pereira@hotmail.com,2023-02-05T21:04:24Z,open,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_856"", ""template"": ""v1""}"
evt_889809e2,patricia.pereira@hotmail.com,2023-02-07T21:04:24Z,click,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_481"", ""template"": ""v1""}"
evt_3b63bee8,patricia.pereira@hotmail.com,2023-02-04T21:04:24Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_735"", ""template"": ""v1""}"
evt_162c9df7,patricia.pereira@hotmail.com,2023-02-08T21:04:24Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_441"", ""template"": ""v1""}"
evt_7e45ab4e,patricia.pereira@hotmail.com,2023-02-08T21:04:24Z,click,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_199"", ""template"": ""v1""}"
evt_20a071a7,joao.mendes@hotmail.com,2023-05-16T09:52:27Z,click,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_580"", ""template"": ""v1""}"
evt_80ae2e6e,joao.mendes@hotmail.com,2023-04-06T14:16:21Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_478"", ""template"": ""v1""}"
evt_999401af,pedro.alves@hotmail.com,2023-11-17T21:34:23Z,sent,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_532"", ""template"": ""v1""}"
evt_4bf28b0a,pedro.alves@hotmail.com,2023-09-09T21:04:27Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_374"", ""template"": ""v1""}"
evt_3818ac40,pedro.alves@hotmail.com,2023-12-05T09:16:34Z,click,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_413"", ""template"": ""v1""}"
evt_ff270cfc,pedro.alves@hotmail.com,2023-11-15T12:46:25Z,sent,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_619"", ""template"": ""v1""}"
evt_dd9444c0,pedro.alves@hotmail.com,2023-07-11T12:10:06Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_139"", ""template"": ""v1""}"
evt_5a29d0e6,pedro.alves@hotmail.com,2023-10-31T01:39:45Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_180"", ""template"": ""v1""}"
evt_f7595ece,joao.nunes@outlook.com,2023-04-23T21:29:56Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_758"", ""template"": ""v1""}"
evt_c0fca5d8,joao.nunes@outlook.com,2023-07-10T10:48:58Z,open,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_276"", ""template"": ""v1""}"
evt_66b49293,joao.nunes@outlook.com,2023-03-27T21:39:54Z,open,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_840"", ""template"": ""v1""}"
evt_cc4da7c7,joao.nunes@outlook.com,2023-02-03T13:14:54Z,sent,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_887"", ""template"": ""v1""}"
evt_c9c3ac4b,joao.nunes@outlook.com,2023-02-21T09:52:24Z,open,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_997"", ""template"": ""v1""}"
evt_30052c69,PEDRO.SANTOS@GMAIL.COM,2023-04-01T07:05:27Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_107"", ""template"": ""v1""}"
evt_5395eb66,PEDRO.SANTOS@GMAIL.COM,2023-07-27T02:55:12Z,click,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_644"", ""template"": ""v1""}"
evt_c70e8fab,julia.mendes@uol.com.br,2023-05-12T21:31:34Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_501"", ""template"": ""v1""}"
evt_b6f6deef,julia.mendes@uol.com.br,2023-05-20T21:31:34Z,sent,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_865"", ""template"": ""v1""}"
evt_86560707,julia.mendes@uol.com.br,2023-05-20T21:31:34Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_870"", ""template"": ""v1""}"
evt_9338cc6f,julia.mendes@uol.com.br,2023-05-13T21:31:34Z,click,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_963"", ""template"": ""v1""}"
evt_cc9c10e1,julia.mendes@uol.com.br,2023-05-11T21:31:34Z,sent,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_699"", ""template"": ""v1""}"
evt_78c8b561,lucas.pereira@gmail.com,2023-06-29T17:21:55Z,open,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_995"", ""template"": ""v1""}"
evt_aee997f1,camila.lima@outlook.com,2023-04-02T05:17:19Z,sent,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_508"", ""template"": ""v1""}"
evt_9d8813bb,camila.lima@outlook.com,2023-06-04T20:49:37Z,sent,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_917"", ""template"": ""v1""}"
evt_b921e591,camila.lima@outlook.com,2023-10-03T12:48:08Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_410"", ""template"": ""v1""}"
evt_54798324,camila.lima@outlook.com,2023-09-09T19:26:59Z,sent,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_296"", ""template"": ""v1""}"
evt_96d2e789,camila.lima@outlook.com,2023-11-26T20:00:28Z,sent,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_326"", ""template"": ""v1""}"
evt_057cf620,camila.lima@outlook.com,2023-01-19T07:07:21Z,sent,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_730"", ""template"": ""v1""}"
evt_f11086ce,carlos.pereira@gmail.com,2023-09-14T07:22:38Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_167"", ""template"": ""v1""}"
evt_e9bd1811,carlos.pereira@gmail.com,2023-09-17T07:22:38Z,open,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_745"", ""template"": ""v1""}"
evt_4d0fbb24,carlos.pereira@gmail.com,2023-09-11T07:22:38Z,sent,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_531"", ""template"": ""v1""}"
evt_4101afda,carlos.pereira@gmail.com,2023-09-17T07:22:38Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_490"", ""template"": ""v1""}"
evt_bad00725,carlos.pereira@gmail.com,2023-09-12T07:22:38Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_167"", ""template"": ""v1""}"
evt_a2112d73,carlos.pereira@gmail.com,2023-09-14T07:22:38Z,click,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_599"", ""template"": ""v1""}"
evt_ceaa7d54,joao.ferreira@hotmail.com,2023-04-11T14:54:40Z,open,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_193"", ""template"": ""v1""}"
evt_85964af7,joao.ferreira@hotmail.com,2023-06-26T19:42:52Z,click,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_540"", ""template"": ""v1""}"
evt_3989ccb8,joao.ferreira@hotmail.com,2023-01-24T21:38:19Z,open,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_671"", ""template"": ""v1""}"
evt_75cab0e7,fernanda.rodrigues@outlook.com,2023-09-26T15:49:57Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_874"", ""template"": ""v1""}"
evt_dab83ed2,fernanda.rodrigues@outlook.com,2023-07-13T20:40:45Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_908"", ""template"": ""v1""}"
evt_6bb63ae7,fernanda.rodrigues@outlook.com,2023-04-14T01:14:12Z,click,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_746"", ""template"": ""v1""}"
evt_a9548160,fernanda.rodrigues@outlook.com,2023-07-04T18:41:32Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_596"", ""template"": ""v1""}"
evt_13ef07ac,PEDRO.LIMA@UOL.COM.BR,2023-04-13T18:45:02Z,click,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_359"", ""template"": ""v1""}"
evt_a555b414,bruna.alves@uol.com.br,2023-07-01T21:48:08Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_607"", ""template"": ""v1""}"
evt_4c3ae4fa,bruna.alves@uol.com.br,2023-09-01T16:37:35Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_728"", ""template"": ""v1""}"
evt_8290d5d3,bruna.alves@uol.com.br,2023-04-25T01:34:26Z,open,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_776"", ""template"": ""v1""}"
evt_d6b785f6,julia.nunes@outlook.com,2023-06-26T21:38:05Z,open,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_333"", ""template"": ""v1""}"
evt_83ab67f2,julia.nunes@outlook.com,2023-12-23T10:53:46Z,sent,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_779"", ""template"": ""v1""}"
evt_102219bb,julia.nunes@outlook.com,2023-01-25T06:13:05Z,open,"{""campaign_code"": ""BROKEN_JSON"", ""oops"": "
evt_e844abb5,julia.nunes@outlook.com,2023-03-18T01:45:03Z,open,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_704"", ""template"": ""v1""}"
evt_b1bdf852,joao.mendes@outlook.com,2023-01-12T19:11:00Z,click,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_296"", ""template"": ""v1""}"
evt_89082947,joao.mendes@outlook.com,2023-01-05T19:11:00Z,sent,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_132"", ""template"": ""v1""}"
evt_d1b96f0f,joao.mendes@outlook.com,2023-11-10T15:55:33Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_898"", ""template"": ""v1""}"
evt_e7eee5f4,joao.mendes@outlook.com,2023-01-12T19:11:00Z,open,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_854"", ""template"": ""v1""}"
evt_26e7d17a,joao.alves@yahoo.com.br,2023-03-12T11:47:58Z,open,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_441"", ""template"": ""v1""}"
evt_913061ce,joao.alves@yahoo.com.br,2023-12-14T17:13:33Z,open,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_628"", ""template"": ""v1""}"
evt_62074c38,joao.alves@yahoo.com.br,2023-01-03T23:43:52Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_400"", ""template"": ""v1""}"
evt_37230d06,joao.alves@yahoo.com.br,2023-02-22T05:06:32Z,click,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_502"", ""template"": ""v1""}"
evt_658d0168,joao.alves@yahoo.com.br,2023-09-01T18:21:12Z,open,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_355"", ""template"": ""v1""}"
evt_e0b49623,LUCAS.SILVA@YAHOO.COM.BR,2023-09-01T18:32:41Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_240"", ""template"": ""v1""}"
evt_f4c3d238,LUCAS.SILVA@YAHOO.COM.BR,2023-08-29T18:32:41Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_664"", ""template"": ""v1""}"
evt_fe678009,LUCAS.SILVA@YAHOO.COM.BR,2023-09-05T18:32:41Z,open,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_661"", ""template"": ""v1""}"
evt_b1f75437,LUCAS.SILVA@YAHOO.COM.BR,2023-08-31T18:32:41Z,sent,"{""campaign_code"": ""WELCOME_JOURNEY"", ""journey_id"": ""j_549"", ""template"": ""v1""}"
evt_7b87125e,LUCAS.SILVA@YAHOO.COM.BR,2023-08-31T18:32:41Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_498"", ""template"": ""v1""}"
evt_e838a97b,julia.santos@yahoo.com.br,2023-03-01T07:49:58Z,sent,"{""campaign_code"": ""RETENTION_PHASE1"", ""journey_id"": ""j_361"", ""template"": ""v1""}"
evt_5d1f07ac,julia.santos@yahoo.com.br,2023-09-21T05:45:21Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_356"", ""template"": ""v1""}"
evt_f71220ad,julia.santos@yahoo.com.br,2023-04-04T02:17:48Z,click,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_428"", ""template"": ""v1""}"
evt_1bb50011,julia.santos@yahoo.com.br,2023-03-01T10:56:48Z,sent,"{""campaign_code"": ""BLK_FRIDAY_23"", ""journey_id"": ""j_441"", ""template"": ""v1""}"
evt_53bb0a85,julia.santos@yahoo.com.br,2023-01-09T23:14:43Z,open,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_402"", ""template"": ""v1""}"
evt_6d94cffc,julia.santos@yahoo.com.br,2023-03-29T17:58:31Z,click,"{""campaign_code"": ""LOAN_OFFER"", ""journey_id"": ""j_655"", ""template"": ""v1""}"
evt_09504260,maria.silva@gmail.com,2023-10-17T21:44:50Z,sent,"{""campaign_code"": ""CREDIT_LIMIT_UP"", ""journey_id"": ""j_756"", ""template"": ""v1""}"
evt_6d3b86e4,maria.silva@gmail.com,2023-06-04T20:27:11Z,sent,"{""campaign_code"": ""CASHBACK_OFFER"", ""journey_id"": ""j_295"", ""template"": ""v1""}"
evt_12aa480c,maria.silva@gmail.com,2023-06-02T17:58:10Z,open,"{""campaign_code"": ""BROKEN_JSON"", ""oops"": "
